                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.68836,                 1.1566,                0.98055,                0.65464,                0.72349,                0.76509,                 0.6717,                0.47406,                0.96399,                0.86195,               0.009897,               0.009897,               0.009897
                    107,                0.70678,                 1.2148,                 1.0031,                0.59712,                0.75042,                0.71659,                0.62853,                0.44775,                 1.0684,                0.85488,              0.0098961,              0.0098961,              0.0098961
                    108,                0.68759,                  1.287,                 1.0116,                0.62234,                0.78766,                0.74588,                0.64741,                0.42213,                 1.0479,                0.84948,              0.0098951,              0.0098951,              0.0098951
                    109,                0.74191,                  1.199,                 1.0176,                0.67926,                0.57675,                0.66844,                0.58928,                0.45061,                 1.0341,                0.85916,              0.0098941,              0.0098941,              0.0098941
                    110,                0.68049,                 1.2536,                 0.9943,                0.48557,                0.71481,                0.63482,                0.58258,                 0.4002,                0.99589,                0.84599,              0.0098931,              0.0098931,              0.0098931
                    111,                0.67643,                 1.1565,                0.99165,                0.56401,                0.67389,                0.70138,                0.63293,                0.44868,                 1.0013,                0.85264,              0.0098921,              0.0098921,              0.0098921
                    112,                0.70861,                 1.2115,                 1.0179,                0.58942,                0.72116,                0.66635,                0.60825,                0.41671,                 1.0345,                  0.848,              0.0098911,              0.0098911,              0.0098911
                    113,                0.70433,                 1.2311,                 1.0207,                0.51524,                0.72963,                 0.6736,                0.61457,                0.39615,                0.90296,                0.84378,              0.0098901,              0.0098901,              0.0098901
                    114,                0.75871,                  1.227,                 1.0234,                0.69759,                0.70612,                0.77439,                0.69602,                0.42124,                0.92414,                0.85187,              0.0098891,              0.0098891,              0.0098891
                    115,                0.72511,                  1.229,                 1.0468,                 0.5295,                0.80348,                0.76635,                0.68857,                0.46552,                0.93393,                0.85739,              0.0098881,              0.0098881,              0.0098881
                    116,                0.66539,                 1.1949,                0.98653,                0.61651,                0.71561,                0.76205,                0.68942,                0.44023,                 1.0143,                0.85496,              0.0098871,              0.0098871,              0.0098871
                    117,                0.66652,                 1.1626,                0.98511,                0.64642,                 0.7037,                0.76463,                0.69482,                0.43074,                 0.8884,                0.85068,              0.0098861,              0.0098861,              0.0098861
                    118,                0.65331,                 1.1418,                0.98735,                0.58921,                0.80034,                0.79367,                0.70266,                0.43561,                0.92369,                0.85038,              0.0098852,              0.0098852,              0.0098852
                    119,                0.66908,                 1.1812,                0.99955,                0.64952,                0.73441,                0.79248,                0.72303,                0.43113,                0.96111,                0.84701,              0.0098842,              0.0098842,              0.0098842
                    120,                0.70426,                 1.1617,                 1.0099,                0.60535,                0.82789,                0.80725,                0.73488,                0.44809,                0.94454,                0.84881,              0.0098832,              0.0098832,              0.0098832
                    121,                0.68414,                 1.1503,                0.98542,                 0.6094,                0.74671,                0.74292,                0.68912,                0.42282,                0.97313,                 0.8425,              0.0098822,              0.0098822,              0.0098822
                    122,                0.70508,                 1.1065,                 0.9971,                0.61772,                0.78207,                0.72674,                0.66736,                0.42688,                0.87422,                0.84719,              0.0098812,              0.0098812,              0.0098812
                    123,                0.70024,                 1.1621,                 1.0109,                0.61468,                0.72642,                0.74049,                0.68032,                0.41935,                0.92926,                0.84607,              0.0098802,              0.0098802,              0.0098802
                    124,                0.71521,                 1.2423,                 1.0076,                0.79344,                0.52709,                0.79635,                0.72888,                0.43047,                0.95322,                 0.8446,              0.0098792,              0.0098792,              0.0098792
                    125,                0.69334,                 1.1352,                0.98445,                0.51077,                0.80131,                0.76995,                0.70986,                0.42231,                 0.8859,                0.84437,              0.0098782,              0.0098782,              0.0098782
                    126,                0.65381,                 1.1158,                0.99321,                0.56378,                0.85966,                0.77398,                0.69772,                0.42135,                0.93133,                0.84858,              0.0098772,              0.0098772,              0.0098772
                    127,                0.68583,                 1.2542,                 1.0204,                0.67281,                0.65922,                0.76315,                0.69538,                0.43121,                0.92373,                0.85031,              0.0098763,              0.0098763,              0.0098763
                    128,                0.69404,                 1.1608,                0.98995,                0.63285,                0.71586,                0.73241,                0.64645,                0.42982,                0.88247,                0.85103,              0.0098753,              0.0098753,              0.0098753
                    129,                0.67769,                 1.0898,                 1.0036,                0.66693,                0.73996,                0.76089,                0.69331,                0.40213,                 0.7822,                0.84452,              0.0098743,              0.0098743,              0.0098743
                    130,                0.66192,                 1.1139,                0.98547,                0.50798,                0.77212,                0.71884,                0.64322,                0.41429,                0.96829,                0.84295,              0.0098733,              0.0098733,              0.0098733
                    131,                0.68232,                 1.1093,                0.99213,                0.74058,                0.64073,                0.79163,                0.72019,                0.42622,                0.89825,                0.84765,              0.0098723,              0.0098723,              0.0098723
                    132,                 0.6536,                 1.0928,                0.99544,                0.59263,                0.72772,                0.75052,                0.68755,                0.42072,                0.88731,                0.84507,              0.0098713,              0.0098713,              0.0098713
                    133,                 0.6545,                 1.1702,                0.98592,                0.57718,                0.73394,                0.69025,                 0.6289,                0.41605,                0.87115,                0.84428,              0.0098703,              0.0098703,              0.0098703
